,Unnamed: 0,Dataset_ID,Organ_major,Organ_specific,Platform,Count_filtered,Mito_filtered,Gene_filtered,Pct_filtered,Total_cells,Total_cells_passed,Source,pubmed_id,pubmed_link,doi,accession
0,0,906853,brain,{'Cerebellum'},sci-RNA-seq3,1.70596424,0,0,1.70596424,1372010,1348604,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
1,1,885166,heart,{'apex_of_heart_||_heart_left_ventricle_||_heart_right_ventricle_||_interventricular_septum_||_left_cardiac_atrium_||_right_cardiac_atrium'},10X_3'_v2,1.32815316,0,0.00196298,1.33011614,1273573,1256633,"Litviňuková, M. et al. Cells of the adult human heart. Nature 588, 466–472 (2020).",32971526,https://pubmed.ncbi.nlm.nih.gov/32971526/,10.1038/s41586-020-2797-4,
2,2,243670,liver,{'liver'},10X_3'_v2,2.82382349,7.98E-05,0.00151638,2.82541968,1252982,1217580,"Popescu, D.-M. et al. Decoding human fetal liver haematopoiesis. Nature 574, 365–371 (2019).",31597962,https://pubmed.ncbi.nlm.nih.gov/31597962/,10.1038/s41586-019-1652-y,
3,3,654215,brain,{'Cerebrum'},sci-RNA-seq3,1.62342584,9.97E-05,0,1.62352556,1002756,986476,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
4,4,962372,brain,{'Cerebrum'},sci-RNA-seq3,1.65872854,9.97E-05,0,1.65882827,1002756,986122,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
5,5,181518,heart,{'apex_of_heart_||_heart_left_ventricle_||_heart_right_ventricle_||_interventricular_septum_||_left_cardiac_atrium_||_right_cardiac_atrium'},10x_3'_v3,1.47349562,0,0.0068373,1.48033292,862914,850140,"Litviňuková, M. et al. Cells of the adult human heart. Nature 588, 466–472 (2020).",32971526,https://pubmed.ncbi.nlm.nih.gov/32971526/,10.1038/s41586-020-2797-4,
6,6,642341,esophagus,{'esophagus_mucosa'},10X_v2,2.61863444,0,0,2.61863444,870721,847920,"Madissoon, E. et al. scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation. Genome Biol. 21, 1 (2019).",31892341,https://pubmed.ncbi.nlm.nih.gov/31892341/,10.1186/s13059-019-1906-x,
7,7,780281,various,"{'unlabeled', 'bone_marrow', 'umbilical_cord_blood'}",droplet,1.75717356,0.13790924,0,1.89470358,791100,776111,"Li, B. et al. Cumulus provides cloud-based data analysis for large-scale single-cell and single-nucleus RNA-seq. Nat. Methods 17, 793–798 (2020).",32719530,https://pubmed.ncbi.nlm.nih.gov/32719530/,10.1038/s41592-020-0905-x,
8,8,660201,brain,{'locus_ceruleus_||_substantia_nigra'},10X_3'_v2,0.91156807,0,0.00014046,0.91170852,711960,705469,"Welch, J. et al. Integrative inference of brain cell similarities and differences from single-cell genomics. bioRxiv 459891 (2018) doi:10.1101/459891.",,,,
9,9,494543,brain,{'locus_ceruleus_||_substantia_nigra'},10X_3'_v2,0.93979867,0,0,0.93979867,711961,705270,"Welch, J. et al. Integrative inference of brain cell similarities and differences from single-cell genomics. bioRxiv 459891 (2018) doi:10.1101/459891.",,,,
10,10,803370,immune,{'immune'},droplet,1.70314938,2.37286884,0,4.07601822,731351,701541,"Ren, X. et al. COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas. Cell 184, 1895–1913.e19 (2021).",34767776,https://pubmed.ncbi.nlm.nih.gov/34767776/,10.1016/j.cell.2021.10.023,
11,11,767886,immune,{'immune'},droplet,1.5005107,2.62158663,0,4.12196059,731351,701205,"Ren, X. et al. COVID-19 immune features revealed by a large-scale single-cell transcriptome atlas. Cell 184, 1895–1913.e19 (2021).",34767776,https://pubmed.ncbi.nlm.nih.gov/34767776/,10.1016/j.cell.2021.10.023,
12,12,657955,adrenal,{'adrenal'},sci-RNA-seq3,1.25457984,0.00163383,0,1.25621367,489646,483495,"Cao, J. et al. A human cell atlas of fetal gene expression. Science 370, eaba7721 (2020).",33184181,https://pubmed.ncbi.nlm.nih.gov/33184181/,10.1126/science.aba7721,
13,13,853356,various,"{'yolk_sac', 'liver', 'skin', 'kidney', 'unlabeled'}",droplet,2.52198061,0.53092181,0,3.05290242,490091,475129,"Popescu, D.-M. et al. Decoding human fetal liver haematopoiesis. Nature 574, 365–371 (2019).",31597962,https://pubmed.ncbi.nlm.nih.gov/31597962/,10.1038/s41586-019-1652-y,
14,14,541649,decidua,{'decidua'},10X_v2,2.34212606,0,0.0002252,2.34235127,444041,433640,"Vento-Tormo, R. et al. Single-cell reconstruction of the early maternal-fetal interface in humans. Nature 563, 347–353 (2018).",30429548,https://pubmed.ncbi.nlm.nih.gov/30429548/,10.1038/s41586-018-0698-6,
15,15,819842,skin,{'zone_of_skin'},10X_3'_v2,2.48463256,0.00071783,0.00813535,2.49348574,417929,407508,"Popescu, D.-M. et al. Decoding human fetal liver haematopoiesis. Nature 574, 365–371 (2019).",31597962,https://pubmed.ncbi.nlm.nih.gov/31597962/,10.1038/s41586-019-1652-y,
16,16,833205,kidney,{'cortex_of_kidney_||_renal_medulla_||_renal_pelvis_||_ureter'},10X_v2,2.0600816,0.00024654,0.09146605,2.15179419,405615,396887,"Stewart, B. J. et al. Spatiotemporal immune zonation of the human kidney. Science 365, 1461–1466 (2019).",31604275,https://pubmed.ncbi.nlm.nih.gov/31604275/,10.1126/science.aat5031,
17,17,484658,skin,{'skin'},droplet,1.20795925,0.00017202,38.2980883,39.5062196,581311,351657,"Solé-Boldo, L. et al. Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming. Commun Biol 3, 188 (2020).",32327715,https://pubmed.ncbi.nlm.nih.gov/32327715/,10.1038/s42003-020-0922-4,
